code_mission,localite,numero_ligne,date_collecte,observations
FRA - BePrep - Juin 2024,FRA - BePrep - 15,15,2025-06-16,"2 tiques
Forte pluie la nuit, sec le matin"
FRA - BePrep - Juin 2024,FRA - BePrep - 18,18,2024-06-21,"0 tique  + 1 collectée sur le collecteur
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 19,19,2024-06-21,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 20,20,2024-06-21,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 21,21,2024-06-21,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 22,22,2024-06-21,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 23,23,2024-06-21,"1 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 24,24,2024-06-21,"1 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 19,19,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 20,20,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 21,21,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 22,22,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 23,23,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 24,24,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 47,47,2024-06-20,"3 tiques
Pluie"
FRA - BePrep - Juin 2024,FRA - BePrep - 48,48,2024-06-20,"0 tique
Pluie"
FRA - BePrep - Juin 2024,FRA - BePrep - 49,49,2024-06-20,"12 tiques
Temps nuageux sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 50,50,2024-06-20,"12 tiques
Temps nuageux sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 51,51,2024-06-20,"3 Tiques
Temps nuageux sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 52,52,2024-06-20,"10 Tiques
Temps nuageux sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 53,53,2024-06-20,"0 Tique
Pluie"
FRA - BePrep - Juin 2024,FRA - BePrep - 26,26,2024-06-18,"1 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 27,27,2024-06-18,"3 tiques
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 28,28,2024-06-18,"1 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 29,29,2024-06-18,"5 tiques
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 30,30,2024-06-18,"1 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 32,32,2024-06-18,
FRA - BePrep - Juin 2024,FRA - BePrep - 33,33,2024-06-18,
FRA - BePrep - Juin 2024,FRA - BePrep - 34,34,2024-06-18,
FRA - BePrep - Juin 2024,FRA - BePrep - 26,26,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 27,27,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 28,28,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 29,29,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 30,30,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 31,31,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 31,31,2024-06-17,"1 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 32,32,2024-06-17,"1 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 33,33,2024-06-17,"2 Tiques sur le drap
+ 1 tique sur Aloïs
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 34,34,2024-06-17,"0 tique
Temps sec et chaud"
FRA - BePrep - Juin 2024,FRA - BePrep - 45,45,2024-06-17,"1 tique
Temps nuageux, humide (pluie durant la nuit"
FRA - BePrep - Juin 2024,FRA - BePrep - 46,46,2024-06-17,"2 tiques
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 10,10,2024-06-15,"0 tique
Forte pluie la nuit"
FRA - BePrep - Juin 2024,FRA - BePrep - 11,11,2024-06-15,
FRA - BePrep - Juin 2024,FRA - BePrep - 12,12,2024-06-15,
FRA - BePrep - Juin 2024,FRA - BePrep - 13,13,2024-06-15,
FRA - BePrep - Juin 2024,FRA - BePrep - 16,16,2024-06-15,
FRA - BePrep - Juin 2024,FRA - BePrep - 17,17,2024-06-15,
