mission	sample_name	host_name	host_nature	sample_nature	stage	with_blood	Borrelia.burgdorferi.sensu.stricto_rpoB	Borrelia.garinii_rpoB	Borrelia.afzelii_fla	Borrelia.valaisiana_ospA	Borrelia.lusitaniae_rpoB	Borrelia.spielmanii_fla	Borrelia.bissettii_rpoB	Borrelia.miyamotoi_glpQ	Borrelia.spp._23S	Anaplasma.marginale_msp.1	Anaplasma.platys_groEL	Anaplasma.phagocytophilum_msp2	Anaplasma.ovis_msp4	Anaplasma.centrale_groEL	Anaplasma.bovis_groEL	Anaplasma.spp._16S	Ehrlichia.spp..16S	Ehrlichia.canis_gltA	Candidatus.Neoehrlichia.mikurensis_groEL	Rickettsia.conorii_ITS	Rickettsia.slovaca_ITS	Rickettsia.massiliae_ITS	Rickettsia.helvetica_ITS	Rickettsia.aeschlimannii_ITS	Rickettsia.felis_orfB	Rickettsia.spp._gltA	Bartonella.henselae_pap31	Bartonella.spp._ssrA	Francisella.tularensis_tul4	Francisella.tularensis_fopA.	Coxiella.burnettii_IS1111	Coxiella.burnettii_icd	Apicomplexa_18S	Babesia.microti_CCTeta	Babesia.canis_3subspe_hsp70	Babesia.ovis_18S	Babesia.bovis_CCTeta	Babesia.caballi_rap1	Babesia.venatorum_18S	Babesia.divergens_hsp70	Babesia.canis_18S	Theileria.spp._18S	Hepatozoon.spp._18S	Ixodes.ricinus_ITS2	Tique.spp_16S	Dermacentor.reticulatus_ITS2	Dermacentor.marginatus_ITS2	E..coli.(temoin.PCR)
FRA - BePrep - Juin 2023	NCHA100002-Ti1	NCHA100002	small_mammal	tick	larvae	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
FRA - BePrep - Juin 2023	NCHA100002-Ti2	NCHA100002	small_mammal	tick	larvae	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
FRA - BePrep - Juin 2023	NCHA100002-Ti3	NCHA100002	small_mammal	tick	larvae	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
FRA - BePrep - Juin 2023	NCHA100005-Ti1	NCHA100005	small_mammal	tick	larvae	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
FRA - BePrep - Juin 2023	NCHA100006-Ti1	NCHA100006	small_mammal	tick	larvae	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
FRA - BePrep - Juin 2023	NCHA100006-Ti2	NCHA100006	small_mammal	tick	nymph	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
FRA - BePrep - Juin 2023	NCHA100010-Ti1	NCHA100010	small_mammal	tick	larvae	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
FRA - BePrep - Juin 2023	NCHA100010-Ti2	NCHA100010	small_mammal	tick	larvae	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
FRA - BePrep - Juin 2023	NCHA100012-Ti1	NCHA100012	small_mammal	tick	larvae	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
FRA - BePrep - Juin 2023	NCHA100013-Ti1	NCHA100013	small_mammal	tick	larvae	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
