numero_centre,numero_ligne,effectif_para,parasite
NCHA100002,1,3,Ixodida
NCHA100002,1,,Siphonaptera
NCHA100004,1,,Siphonaptera
NCHA100005,1,1,Taenia taeniaeformis
NCHA100005,1,1,Ixodida
NCHA100008,1,,
NCHA100007,10,,
NCHA100020,11,5,Ixodida
NCHA100013,19,4,Ixodida
NCHA100016,21,,Arachnida
NCHA100016,21,4,Ixodida
NCHA100018,21,,Siphonaptera
NCHA100018,21,21,Ixodida
NCHA100018,21,,Arachnida
NCHA100022,22,4,Ixodida
NCHA100021,23,3,Ixodida
JPRA000055,24,,
NCHA100017,24,,Arachnida
NCHA100017,24,,Siphonaptera
NCHA100017,24,13,Ixodida
NCHA100019,25,13,Ixodida
NCHA100019,25,,Arachnida
NCHA100010,26,2,Ixodida
NCHA100009,29,,
NCHA100000,3,,Siphonaptera
NCHA100011,30,,
NCHA100015,31,,Siphonaptera
NCHA100015,31,,Arachnida
NCHA100015,31,1,Ixodida
NCHA100012,34,1,Ixodida
NCHA100012,34,,Siphonaptera
JPRA000054,34,,
NCHA100014,34,,
JPRA000053,36,,
NCHA100006,7,2,Ixodida
NCHA100003,8,,
NCHA100001,9,,Siphonaptera
NCHA100001,9,,Ixodida
NCHA100024,1,3,Ixodida
NCHA100032,1,2,Ixodida
NCHA100033,1,,Siphonaptera
NCHA100033,1,,Arachnida
NCHA100033,1,2,Ixodida
JPRA000056,10,,
JPRA000057,10,,
JPRA000062,10,,
NCHA100029,10,,
JPRA000060,10,,
JPRA000058,10,,
NCHA100038,10,1,Ixodida
JPRA000064,10,,
NCHA100040,11,2,Ixodida
JPRA000065,11,,
NCHA100053,11,1,Ixodida
NCHA100054,11,,Arachnida
NCHA100058,11,,Arachnida
NCHA100059,11,,
JPRA000066,12,,
JPRA000070,12,,
NCHA100047,12,,
NCHA100048,12,,
NCHA100060,12,,Siphonaptera
JPRA000067,13,,
NCHA100044,13,,
NCHA100063,13,1,Ixodida
NCHA100062,13,1,Ixodida
JPRA000071,14,,
JPRA000072,14,,
NCHA100049,14,4,Ixodida
NCHA100049,14,,Siphonaptera
JPRA000073,14,,
NCHA100046,14,,
JPRA000075,14,,
NCHA100056,14,2,Ixodida
JPRA000076,14,,
JPRA000068,16,,
NCHA100041,16,1,Ixodida
NCHA100045,16,,
JPRA000078,16,,
NCHA100052,17,,Siphonaptera
JPRA000093,17,,
NCHA100074,19,,
NCHA100023,2,,
NCHA100073,20,,
NCHA100043,21,1,Ixodida
NCHA100042,21,,
NCHA100050,21,,
NCHA100051,21,,
NCHA100057,21,,
JPRA000074,23,,
JPRA000077,23,,
NCHA100061,24,,
JPRA000069,25,,
NCHA100055,25,4,Ixodida
NCHA100055,25,,Siphonaptera
NCHA100070,26,11,Ixodida
NCHA100070,26,,Arachnida
NCHA100071,26,3,Ixodida
NCHA100068,26,1,Ixodida
NCHA100068,26,,Arachnida
JPRA000085,26,,
JPRA000088,26,,
JPRA000091,26,,
JPRA000087,26,,
JPRA000079,28,,
NCHA100072,28,,
NCHA100026,3,1,Ixodida
JPRA000081,30,,
JPRA000086,30,,
NCHA100065,31,,
JPRA000083,32,,
JPRA000084,32,,
JPRA000092,32,,
JPRA000089,32,,
NCHA100064,33,4,Ixodida
JPRA000082,34,,
NCHA100075,34,1,Ixodida
JPRA000090,34,,
JPRA000080,35,,
NCHA100067,35,,
NCHA100069,35,1,Ixodida
NCHA100066,35,3,Ixodida
NCHA100077,35,,
NCHA100076,35,,
NCHA100025,36,,
NCHA100030,36,,
JPRA000059,36,,
NCHA100039,36,,
NCHA100027,4,,
NCHA100028,4,1,Ixodida
JPRA000061,5,,
JPRA000063,5,,
NCHA100035,6,,Siphonaptera
NCHA100035,6,,Arachnida
NCHA100034,6,1,Ixodida
NCHA100037,7,,
NCHA100031,9,2,Ixodida
NCHA100036,9,,
NCHA100091,11,,
NCHA100090,12,,
NCHA100095,12,,
JPRA000114,14,,
JPRA000137,14,,
NCHA100088,15,,
JPRA000110,15,,
JPRA000119,15,,
NCHA100102,15,,
JPRA000109,16,,
NCHA100100,17,,
NCHA100092,18,,
NCHA100093,18,,
NCHA100094,18,,
JPRA000108,18,,
JPRA000112,18,,
NCHA100101,18,,
JPRA000111,18,,
NCHA100141,19,,
NCHA100129,21,,
NCHA100140,21,,
NCHA100123,24,,
NCHA100122,24,,
NCHA100142,24,,
NCHA100143,24,,
NCHA100106,26,,
JPRA000120,26,,
JPRA000131,26,,
NCHA100117,26,,
JPRA000138,27,,
JPRA000115,28,,
JPRA000117,28,,
JPRA000116,28,,
JPRA000121,28,,
NCHA100108,28,,
JPRA000122,28,,
JPRA000123,28,,
